CELL_ID,flow_sum,user_sum,flow_sumsq,user_sumsq,flow_count,user_count,flow_max,user_max,silent_count,record_count,activity_sum,activity_count,par_sum,par_count,LATITUDE,LONGITUDE,TYPE,SCENE,flow_mean,user_mean,flow_var,user_var,flow_std,user_std,flow_cv,user_cv,flow_per_user,peak_ratio,silent_ratio,activity_mean,par_mean
43329,2484773.8,4132942.5,6431598600.0,17356255000.0,1440.0,1440.0,6197.24,7355.0,0.0,1440.0,133.53046,1440.0,3690.1865,1440.0,392.20938,219.71231,1.0,6.0,1725.537326388889,2870.098958333333,1488908.8463497958,3815486.991596137,1220.2085257650824,1953.327159386296,0.7071469895807289,0.6805783311808152,0.6012118,3.59148431019122,0.0,0.0927294837103949,2.5626295301649304
32213,1781059.6,4076328.0,3981879000.0,17510009000.0,1440.0,1440.0,14644.18,8367.0,0.0,1440.0,130.68585,1440.0,4256.2354,1440.0,391.9744,219.76598,1.0,14.0,1236.8469618055556,2830.7833333333333,1235403.370850145,4146394.0752777774,1111.48700885352,2036.269646996138,0.8986455423967452,0.7193308025444565,0.43692747,11.839928576226075,0.0,0.0907540639241536,2.955718994140625
6419,2259950.8,4072987.5,5961951000.0,16856918000.0,1440.0,1440.0,9454.58,9000.0,0.0,1440.0,131.30713,1440.0,4581.9927,1440.0,391.96896,219.70424,1.0,2.0,1569.4102430555556,2828.4635416666665,1677195.400103413,3705987.060129124,1295.065789874558,1925.094039294996,0.8251926452022742,0.6806147616669077,0.55486315,6.024288499428582,0.0,0.0911855061848958,3.1819393581814235
32704,2069578.1,4063579.5,5193394700.0,16663523000.0,1440.0,1440.0,9281.63,7722.0,0.0,1440.0,130.72308,1440.0,3940.452,1440.0,391.97958,219.7913,1.0,14.0,1437.20703125,2821.930208333333,1540960.0382144502,3608601.0992957903,1241.354114753099,1899.6318325654024,0.8637267197847207,0.6731675457301082,0.5092993,6.458102194740776,0.0,0.0907799190945095,2.7364249335394963
29811,5353642.0,4049094.5,26124157000.0,14748933000.0,1440.0,1440.0,10906.34,6821.0,0.0,1440.0,135.248,1440.0,3493.1328,1440.0,391.96823,219.84187,1.0,2.0,3717.806944444445,2811.8711805555554,4319687.168285105,2335695.1306277737,2078.385712105697,1528.2981157574504,0.5590354053244883,0.5435164051347107,1.3221825,2.933541199617008,0.0,0.0939222229851616,2.425786675347222
35882,5618081.5,3957075.2,56751130000.0,24934460000.0,1440.0,1440.0,30635.2,10264.0,11.0,1440.0,132.75984,1440.0,5378.576,1440.0,392.03528,219.74368,1.0,2.0,3901.445486111111,2747.968923611111,24189229.074458797,9764263.59486759,4918.254677673655,3124.7821675866608,1.2606237086183358,1.1371242741276633,1.419756,7.852268941808694,0.0076388888888888,0.0921943346659342,3.735122341579861
56751,2013971.8,3953615.8,4513380400.0,15162369000.0,1440.0,1440.0,7560.93,8006.0,0.0,1440.0,127.1862,1440.0,4199.0024,1440.0,392.08563,219.8007,1.0,5.0,1398.5914930555557,2745.5664930555554,1178233.7466637434,2991287.5655439524,1085.4647606733915,1729.533915696351,0.7761128006734374,0.6299369984558427,0.50939995,5.406103364222959,0.0,0.0883237520853678,2.915973917643229
2260,4031917.8,3943524.0,15511087000.0,13772805000.0,1440.0,1440.0,12217.37,5449.0,0.0,1440.0,129.92921,1440.0,2865.2156,1440.0,392.01785,219.73547,1.0,13.0,2799.9428819444443,2738.5583333333334,2931908.124515307,2064746.254930555,1712.2815552692575,1436.9224944062066,0.6115416019058749,0.5247003421165783,1.0224149,4.363435481477766,0.0,0.0902286211649576,1.9897330390082464
27938,5581275.5,3922666.8,48022480000.0,21833632000.0,1440.0,1440.0,16132.87,9793.0,8.0,1440.0,131.6237,1440.0,5176.7754,1440.0,392.0788,219.75206,1.0,2.0,3875.885763888889,2724.0741319444446,18326453.189727888,7741664.3903377885,4280.9406898166535,2782.384658945953,1.1045064149469026,1.021405631483269,1.4228269,4.162369868455696,0.0055555555555555,0.09140534930759,3.59498291015625
60918,5419957.5,3886538.5,29327380000.0,14120902000.0,1440.0,1440.0,18966.78,5692.0,0.0,1440.0,130.24477,1440.0,3036.8748,1440.0,392.01157,219.78073,1.0,2.0,3763.859375,2698.9850694444444,6199599.049669053,2521661.283804856,2489.899405532089,1587.973955644379,0.6615282765531296,0.5883596666102512,1.3945462,5.039183828932238,0.0,0.0904477543301052,2.108940802680121
