vendor,city,scene_l1,scene_l2,operator,test_distance_km,test_duration_h,avg_speed_kmh,x1_平均RSRP,x1_平均SINR,x1_覆盖率1,x1_覆盖率2,y1_应用层下行平均吞吐率,y1_应用层下行前10%峰值速率,y1_下行速率达标率,y1_FTP下载尝试次数,y1_FTP下载成功次数,y1_FTP下载掉线次数,y1_FTP下载掉线率,z1_应用层上行平均吞吐率,z1_应用层上行前10%峰值速率,z1_上行速率达标率,z1_FTP上传尝试次数,z1_FTP上传成功次数,z1_FTP上传掉线次数,z1_FTP上传掉线率,x2_平均RSRP,x2_平均SINR,x2_覆盖率1,x2_覆盖率2,y2_应用层下行平均吞吐率,y2_应用层下行前10%峰值速率,y2_下行速率达标率,y2_FTP下载尝试次数,y2_FTP下载成功次数,y2_FTP下载掉线次数,y2_FTP下载掉线率,z2_应用层上行平均吞吐率,z2_应用层上行前10%峰值率,z2_应用层上行速率达标率,z2_FTP上传尝试次数,z2_FTP上传成功次数,z2_FTP上传掉线次数,z2_FTP上传掉线率
7715b7194cb0b2308630075510656066,A,定点,停车场,联通,,0.245,,-90.3001373857178,-0.908030639980232,0.853965900667161,0.853965900667161,2.44686274509804,5.136,0.486928104575163,10,10,0,0.0,4.42082333333333,5.296,0.996666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,F,驶测,骑行道,联通,3.814,0.409,9.32518337408313,-90.0557313800657,1.07753970427163,0.744660460021906,0.744660460021906,7.30303646833013,8.904,0.982725527831094,17,17,0,0.0,4.4860939334638,5.8059998,0.978473581213307,17,17,0,0.0,-89.2738177777778,1.40203555555556,0.764444444444444,0.764444444444444,7.31971621621622,8.946,1.0,17.0,17.0,0.0,0.0,4.50313253012048,5.3190002,0.987951807228916,17.0,17.0,0.0,0.0
7715b7194cb0b2308630075510656066,A,驶测,步行道,电信,6.101,0.576,10.5920138888889,-89.7894586965135,6.22792244453249,0.889064976228209,0.924029318541997,8.33271038251366,9.87,0.976775956284153,24,24,0,0.0,4.16559084604716,5.663,0.943134535367545,24,24,0,0.0,-91.3935730027548,6.22360330578512,0.889807162534435,0.942148760330578,8.330912,9.775,0.992,24.0,24.0,0.0,0.0,4.17578461538462,5.255,1.0,24.0,24.0,0.0,0.0
7715b7194cb0b2308630075510656066,H,定点,补给站,联通,,0.24,,-89.4341128205128,6.67857855477855,0.997435897435898,0.997435897435898,7.83223355263158,8.436,1.0,10,10,0,0.0,4.85985714285714,5.794,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,B,定点,停车场,电信,,0.237,,-89.3355646437995,13.6512353082274,0.998800671623891,0.998800671623891,8.45711221122112,9.711,0.996699669966997,10,10,0,0.0,4.82817666666667,5.897,0.996666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,F,驶测,骑行道,电信,3.814,0.409,9.32518337408313,-89.2810361782372,1.21845201843833,0.747031708339154,0.747031708339154,5.70974590163934,9.744,0.795081967213115,16,16,0,0.0,4.4214375,5.769,0.979166666666667,16,16,0,0.0,-89.04684,0.969742222222222,0.733333333333333,0.733333333333333,5.32250666666667,9.56,0.8,16.0,16.0,0.0,0.0,4.32085074626866,5.225,0.970149253731343,16.0,16.0,0.0,0.0
61f672c7283626788223681647752079,D,定点,咖啡厅,移动,,0.384169444444444,,-88.7966501231824,6.54809798041031,1.0,1.0,8.80692297666667,9.78222,1.0,10,10,0,0.0,3.81649730333333,4.84837,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,J,定点,停车场,移动,,0.441777777777778,,-88.4574275937756,13.498984579908,1.0,1.0,6.37697784333333,7.26403,0.983333333333333,10,10,0,0.0,0.736722378737541,1.27745,0.651162790697674,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,C,驶测,骑行道,联通,2.17412685996294,0.0,,-88.161273315308,4.33959919328256,0.93306747143781,0.937270963569735,7.06836240609137,8.74752,0.928934010152284,14,14,0,0.0,4.21598298809524,5.43457,0.997619047619048,14,14,0,0.0,-87.9158898058526,4.20593880928152,0.978723404255319,0.978723404255319,6.79026156352026,8.5156735,0.941176470588235,14.0,14.0,0.0,0.0,4.33106789329813,4.969939,1.0,14.0,14.0,0.0,0.0
61f672c7283626788223681647752079,J,定点,补给站,电信,,0.435916666666667,,-88.1303796904846,1.59493599405762,0.792604912998977,0.792604912998977,6.01749229333333,7.96661,0.95,10,10,0,0.0,4.04706324666667,5.76577,0.97,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,C,定点,停车场,电信,,0.381588888888889,,-88.125363220001,4.12576156802787,0.999561979851073,0.999561979851073,8.10728833666667,9.8627,1.0,10,10,0,0.0,4.73292467666667,5.13026,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,A,驶测,步行道,联通,6.101,0.576,10.5920138888889,-87.9040009940358,4.81358876739563,0.858548707753479,0.865407554671968,7.52575,9.789,0.937125748502994,22,22,0,0.0,3.73673793103448,5.706,0.856551724137931,24,24,0,0.0,-89.0253966942149,5.19866666666667,0.881542699724518,0.887052341597796,7.45457522123894,9.681,0.929203539823009,22.0,22.0,0.0,0.0,3.67750387596899,5.089,0.930232558139535,24.0,24.0,0.0,0.0
61f672c7283626788223681647752079,C,定点,补给站,联通,,0.375002777777778,,-87.8773031309633,11.0296915538012,1.0,1.0,9.48210426666667,11.3523,1.0,10,10,0,0.0,4.75313959666667,6.08,0.996666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,E,驶测,骑行道,移动,2.14353608834744,0.539680555555555,3.97186088377938,-87.8348434495581,6.00556282307755,0.892140641158221,0.893795243019648,7.12793543571429,8.76009,0.976190476190476,14,14,0,0.0,3.10227758666667,4.23267,0.991111111111111,15,15,0,0.0,-88.4847391078126,6.20290444980325,0.922222222222222,0.922222222222222,7.16146095403474,8.51845,1.0,14.0,14.0,0.0,0.0,3.07483344862808,4.154196,1.0,15.0,15.0,0.0,0.0
61f672c7283626788223681647752079,C,驶测,步行道,电信,2.1691858626008,0.504805555555556,4.29707208791223,-87.760752106889,11.9033893357004,0.98513543272407,0.993063201937899,8.23057488516746,9.94485,0.997607655502392,14,14,0,0.0,4.37930034615385,5.12,1.0,13,13,0,0.0,-87.0898721709586,12.2157407742518,1.0,1.0,8.40643629354275,9.51294164705882,1.0,14.0,14.0,0.0,0.0,4.4569259435393,4.91528216666667,1.0,13.0,13.0,0.0,0.0
7715b7194cb0b2308630075510656066,H,定点,补给站,电信,,0.24,,-87.6395998138669,9.58245649139135,0.988832014890647,0.988832014890647,7.50473202614379,8.133,1.0,10,10,0,0.0,4.52844816053512,5.654,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,E,驶测,步行道,电信,1.66221134400368,0.348975,4.76312441866517,-87.5378459950571,14.4504550818747,0.952457179446134,0.996798463262366,9.10939274860335,10.431,1.0,9,6,0,0.0,4.46830563809524,5.13541,1.0,9,7,2,0.285714285714286,-87.8713458594078,14.3974534479961,0.974358974358974,1.0,9.05852157689169,10.0473575,1.0,9.0,6.0,0.0,0.0,4.41369993602395,5.0195319375,1.0,9.0,7.0,2.0,0.285714285714286
7715b7194cb0b2308630075510656066,F,驶测,骑行道,联通,2.445,0.277,8.82671480144404,-87.4324845173042,2.10541408621736,0.813195709370573,0.813195709370573,7.83360579710145,9.661,0.979710144927536,12,11,0,0.0,4.09739226519337,5.932,0.919889502762431,12,12,0,0.0,-89.8708104575163,0.582137254901961,0.810457516339869,0.810457516339869,7.36823076923077,9.371,1.0,12.0,11.0,0.0,0.0,3.7845593220339,5.367,0.932203389830508,12.0,12.0,0.0,0.0
61f672c7283626788223681647752079,E,定点,停车场,移动,,0.377886111111111,,-87.2707697015298,0.555528406759053,0.959839952578542,0.959839952578542,6.5252991,7.9006,0.99,10,10,0,0.0,2.83074655666667,3.72084,0.996666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,E,定点,停车场,移动,,0.384916666666667,,-87.0556168549301,3.08833836479887,0.974340388518411,0.993476369962308,6.75570572666667,8.63328,0.986666666666667,10,10,0,0.0,3.08441380333333,4.49799,0.916666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,J,定点,停车场,电信,,0.441458333333333,,-86.9483582858547,6.95748105680487,0.999370673379484,0.999370673379484,8.25082837666667,8.66851,1.0,10,10,0,0.0,4.68532986333333,6.09218,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,C,驶测,骑行道,电信,2.17256402724981,0.0,,-86.611133008884,4.04596998043184,0.939579967689822,0.939687668282176,2.83299570883055,6.33063,0.536992840095465,14,14,0,0.0,3.72173724871795,4.81444,1.0,13,13,0,0.0,-86.4525634940429,3.66569072094518,0.98936170212766,0.98936170212766,2.89691254579968,5.57408055555556,0.53125,14.0,14.0,0.0,0.0,3.79492781428664,4.611816,1.0,13.0,13.0,0.0,0.0
7715b7194cb0b2308630075510656066,G,定点,咖啡厅,电信,,0.237,,-86.5680124461465,13.1294626615606,1.0,1.0,9.16028712871287,9.545,0.996699669966997,10,10,0,0.0,4.93750666666667,5.889,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,C,定点,停车场,移动,,0.381919444444444,,-86.4126937659531,9.4868270048014,0.99504806291873,0.99504806291873,5.81477572333333,8.08552,1.0,10,10,0,0.0,2.86732312,5.14056,0.873333333333333,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,D,定点,咖啡厅,电信,,0.383805555555556,,-86.0854409423084,5.89707009889014,1.0,1.0,8.58306846,9.88669,1.0,10,10,0,0.0,4.20899195364238,5.76577,0.993377483443709,11,11,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,E,驶测,骑行道,联通,2.14353608834744,0.5395,3.97319015449015,-86.0505572512783,9.83216576934526,0.887905911740216,0.93161948376353,7.16972557069409,10.0966,0.961439588688946,14,13,1,0.0769230769230769,4.26689519555556,5.43457,0.993333333333333,15,15,0,0.0,-85.5332781718694,10.3518722348517,0.9,0.966666666666667,7.35975864290338,9.95844615789474,1.0,14.0,13.0,1.0,0.0769230769230769,4.16067427163877,4.893968,1.0,15.0,15.0,0.0,0.0
7715b7194cb0b2308630075510656066,H,驶测,骑行道,联通,2.577,0.547,4.71115173674589,-85.8165299700815,7.18597420819148,0.937171154441349,0.937274321675436,7.61746372688478,8.861,0.995732574679943,23,23,0,0.0,4.55114884393064,5.728,0.984104046242775,23,23,0,0.0,-86.2953452380952,7.08633928571429,0.952380952380952,0.952380952380952,7.56830158730159,8.728,1.0,23.0,23.0,0.0,0.0,4.59021538461538,5.182,1.0,23.0,23.0,0.0,0.0
61f672c7283626788223681647752079,C,定点,补给站,电信,,0.374825,,-85.8151989859641,13.3876852369294,1.0,1.0,9.45897475585284,11.3031,1.0,10,10,0,0.0,4.63173664,6.06181,0.996666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,B,定点,补给站,联通,,0.237,,-85.7768386714116,5.19090106761566,0.941399762752076,0.941399762752076,8.64503908794788,9.774,1.0,10,10,0,0.0,4.85066333333333,5.907,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,C,驶测,步行道,联通,2.1691858626008,0.504975,4.29563020466519,-85.6747250000995,10.8506954232235,0.988660134316856,0.990201475283497,8.52522942051282,9.40127,1.0,13,13,0,0.0,4.38542383571428,6.09829,0.976190476190476,14,14,0,0.0,-85.0189299635039,11.4811684915346,1.0,1.0,8.60170488401251,9.38338714285714,1.0,13.0,13.0,0.0,0.0,4.28998898035204,4.80605933333333,0.975609756097561,14.0,14.0,0.0,0.0
7715b7194cb0b2308630075510656066,B,定点,补给站,电信,,0.237,,-85.632006168446,12.2649596678529,1.0,1.0,8.13236601307189,8.641,1.0,10,10,0,0.0,5.02597666666667,5.962,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
61f672c7283626788223681647752079,E,定点,停车场,联通,,0.384752777777778,,-85.6276097028203,4.42032161548417,1.0,1.0,9.49885261333333,11.4038,1.0,10,10,0,0.0,4.67265733666667,6.08,0.993333333333333,10,10,0,0.0,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,A,定点,停车场,移动,,0.245,,-85.5144400093919,7.48213242545198,0.999765203099319,0.999765203099319,4.54688524590164,7.051,0.934426229508197,10,10,0,0.0,3.15410264900662,5.452,0.877483443708609,10,10,0,0.0,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,H,驶测,骑行道,电信,2.577,0.547,4.71115173674589,-85.4760978249665,5.64694361406041,0.88939284609834,0.88939284609834,7.52636766809728,9.2630005,0.97997138769671,23,23,0,0.0,4.67262662807525,5.773,0.988422575976845,23,23,0,0.0,-85.5943452380952,5.6027380952381,0.93452380952381,0.93452380952381,7.48144444444444,9.19,1.0,23.0,23.0,0.0,0.0,4.665328125,5.277,1.0,23.0,23.0,0.0,0.0
7715b7194cb0b2308630075510656066,F,驶测,骑行道,移动,2.611,0.64,4.0796875,-85.3687532241199,6.33988802718717,0.842628093412339,0.848727779714186,6.81060506329114,8.754,0.970886075949367,26,26,0,0.0,3.76307918263091,5.769,0.869731800766284,26,26,0,0.0,-85.8377337278106,6.63914792899408,0.887573964497042,0.887573964497042,6.708,8.615,0.985074626865672,26.0,26.0,0.0,0.0,3.77901587301587,5.13,1.0,26.0,26.0,0.0,0.0
7715b7194cb0b2308630075510656066,G,定点,咖啡厅,联通,,0.237,,-85.2640984149515,15.163910101727,1.0,1.0,9.10406493506493,9.524,1.0,10,10,0,0.0,4.99995666666667,5.868,1.0,10,10,0,0.0,,,,,,,,,,,,,,,,,,
7715b7194cb0b2308630075510656066,G,驶测,骑行道,电信,2.785,0.674,4.13204747774481,-85.1219209716045,12.6532538487855,0.927129661306876,0.962025316455696,6.83464528301887,9.591,0.807547169811321,26,26,0,0.0,3.79359108280255,5.663,0.913375796178344,26,26,0,0.0,-84.9309340659341,12.8227362637363,0.945054945054945,0.967032967032967,6.77813333333333,9.106,0.8,26.0,26.0,0.0,0.0,4.002515625,5.082,0.96875,26.0,26.0,0.0,0.0
61f672c7283626788223681647752079,E,定点,补给站,联通,,0.376219444444444,,-85.0984779473903,4.90441448393713,0.94634073632434,0.94634073632434,6.55013158139535,9.78982,0.970099667774086,10,10,0,0.0,4.36881577666667,5.14056,0.996666666666667,10,10,0,0.0,,,,,,,,,,,,,,,,,,
