vendor,city,scene_l1,scene_l2,operator,test_distance_km,test_duration_h,avg_speed_kmh,x1_平均RSRP,x1_平均SINR,x1_覆盖率1,x1_覆盖率2,x2_平均RSRP,x2_平均SINR,x2_覆盖率1,x2_覆盖率2
61f672c7283626788223681647752079,E,驶测,步行道,移动,2.15796139836311,0.457166666666667,4.72029471023649,-66.9460458240946,8.78142130142892,0.990145355999015,0.991993101749199,-67.4354511851097,8.59815865950423,1.0,1.0
61f672c7283626788223681647752079,E,驶测,步行道,移动,1.66221134400368,0.349247222222222,4.7594117812225,-91.8773976982097,2.28335797634271,0.816975703324808,0.816975703324808,-92.9119763864705,1.96230859773381,0.807692307692308,0.807692307692308
61f672c7283626788223681647752079,E,驶测,步行道,电信,1.66221134400368,0.349083333333333,4.76164624684749,-94.9139698814483,3.18579031159885,0.848446010893944,0.887696251201538,-94.3004349142781,3.18324249037571,0.846153846153846,0.897435897435897
61f672c7283626788223681647752079,E,驶测,步行道,移动,1.66221134400368,0.348913888888889,4.763958664119,-90.9119196575568,3.6986412372407,0.866315442871255,0.883931511359895,-91.5505976218467,3.53464402672159,0.833333333333333,0.858974358974359
61f672c7283626788223681647752079,E,定点,咖啡厅,移动,,0.39525,,-42.8254325502884,15.7031799479533,1.0,1.0,,,,
61f672c7283626788223681647752079,E,定点,咖啡厅,电信,,0.395083333333333,,-84.3090883511536,9.36736115996061,1.0,1.0,,,,
61f672c7283626788223681647752079,E,定点,咖啡厅,移动,,0.394916666666667,,-50.2902408111534,0.791690871004084,0.952964371215322,0.952964371215322,,,,
61f672c7283626788223681647752079,E,定点,停车场,移动,,0.384861111111111,,-70.6264259927798,11.9686371841155,1.0,1.0,,,,
61f672c7283626788223681647752079,E,定点,停车场,电信,,0.384694444444444,,-87.9485090909091,6.63239772727273,0.996218181818182,0.996218181818182,,,,
61f672c7283626788223681647752079,E,定点,停车场,移动,,0.384527777777778,,-70.0052030640266,6.02162071831189,1.0,1.0,,,,
61f672c7283626788223681647752079,E,定点,停车场,移动,,0.377838888888889,,-66.2886764705882,11.7805147058824,1.0,1.0,,,,
61f672c7283626788223681647752079,E,定点,停车场,电信,,0.377697222222222,,-95.1842958161461,0.718881205804361,0.961991750147319,0.961991750147319,,,,
61f672c7283626788223681647752079,E,定点,停车场,移动,,0.377497222222222,,-57.8123067863978,8.02779515677904,1.0,1.0,,,,
61f672c7283626788223681647752079,E,定点,补给站,移动,,0.376305555555556,,-70.2862629246677,10.6999169128508,1.0,1.0,,,,
61f672c7283626788223681647752079,E,定点,补给站,电信,,0.376136111111111,,-74.7882996011228,9.23274994460038,0.981237996749889,0.981237996749889,,,,
61f672c7283626788223681647752079,E,定点,补给站,移动,,0.375975,,-63.3827050997783,13.6847745750185,0.990687361419069,0.992609016999261,,,,
61f672c7283626788223681647752079,D,驶测,骑行道,移动,2.02233774805069,0.477027777777778,4.23945489604756,-54.8436406067678,8.84317568553092,0.958693115519253,0.958693115519253,-55.208144871156,8.97038873624381,0.968085106382979,0.968085106382979
61f672c7283626788223681647752079,D,驶测,骑行道,电信,2.02233774805069,0.476861111111111,4.24093661850206,-98.0588848962559,1.74481279703257,0.499826127274835,0.771763069433175,-100.855509985645,0.680102209896355,0.468085106382979,0.712765957446808
